word,translation
that,что
your,ваш
with,с участием
have,иметь
this,этот
from,из
they,Oни
more,Больше
will,воля
some,некоторые
there,там
what,какие
about,около
which,который
when,когда
their,их
also,также
many,многие
most,самый
people,люди
other,Другие
time,время
these,эти
like,подобно
into,в
than,чем
them,их
make,сделать
because,так как
such,такой
through,через
work,Работа
even,четный
different,разные
film,фильм
just,только
only,только
used,используемый
good,хороший
water,вода
been,был
need,нужно
should,должен
very,очень
history,история
often,довольно часто
well,Что ж
know,знать
were,мы
then,тогда
first,первый
would,было бы
money,Деньги
each,каждый
over,над
world,Мир
information,Информация
find,найти
where,где
much,много
take,взять
want,хотеть
important,важный
family,семья
those,те
example,пример
while,пока
look,смотреть
government,правительство
before,перед
help,Помогите
between,между
however,Однако
business,бизнес
great,большой
being,будучи
another,еще один
health,здоровье
same,тем же
study,исследование
game,игра
might,может быть
think,думать
free,свободно
right,верно
still,все еще
system,система
after,после
computer,компьютер
best,Лучший
must,должен
life,жизнь
since,поскольку
could,мог
does,делает
during,в течение
learn,учиться
around,около
usually,обычно
form,форма
meat,мясо
place,место
become,стали
number,число
public,общественный
read,читать
keep,хранить
part,часть
start,Начало
year,год
every,каждый
field,поле
large,большой
once,один раз
available,имеется в наличии
down,вниз
give,дать
fish,рыба
human,человек
both,и то и другое
local,местный
sure,конечно
something,что нибудь
without,без
come,приходить
back,назад
better,лучше
general,Генеральная
process,процесс
heat,высокая температура
thanks,Благодарность
specific,конкретный
enough,довольно
long,длинный
hand,рука
popular,популярный
small,маленький
though,хотя
experience,опыт
include,включают
music,Музыка
person,человек
really,действительно
although,несмотря на то что
thank,благодарить
book,книга
early,рано
reading,чтение
method,метод
never,никогда
less,Меньше
play,играть
able,способный
data,данные
feel,Чувствовать
high,высоко
point,точка
type,тип
whether,будь то
food,еда
understanding,понимание
here,Вот
home,дом
certain,определенный
economy,экономия
little,маленький
theory,теория
tonight,сегодня ночью
under,под
value,значение
always,всегда
body,тело
common,общий
market,рынок
bird,птица
guide,руководство
provide,предоставлять
change,изменение
interest,интерес
literature,литература
sometimes,иногда
problem,проблема
next,следующий
create,Создайте
simple,просто
software,программного обеспечения
state,штат
together,все вместе
control,контроль
knowledge,знания
power,сила
radio,радио
ability,способность
basic,основной
course,курс
economics,экономика
hard,жесткий
company,Компания
known,известный
love,люблю
past,мимо
price,цена
size,размер
away,прочь
internet,Интернет
possible,возможный
television,телевидение
three,три
understand,понять
various,разные
yourself,сами
card,открытка
difficult,трудно
including,включая
list,список
mind,разум
particular,специфический
real,настоящий
science,наука
trade,сделка
consider,рассмотреть возможность
either,либо
library,библиотека
likely,вероятно
nature,природа
fact,факт
line,линия
product,товар
care,забота
group,группа
idea,идея
risk,рисковать
several,несколько
someone,кто то
temperature,температура
united,объединенный
word,слово
force,сила
light,легкий
simply,просто
today,Cегодня
training,обучение
until,до
major,главный
name,название
personal,личный
school,школа
current,текущий
generally,в общем-то
historical,исторический
investment,вложение
left,осталось
national,национальный
amount,количество
level,уровень
order,заказ
practice,практика
research,исследование
sense,смысл
service,оказание услуг
area,площадь
instead,вместо
least,наименее
